7 days / 1 weeks|$1,844|(#83 rank, 10 theaters, $184 average)|64.7%|10 theaters|March 9, 2017|2/26/17|Spain|12/2/16|$571,546|28.7%|$1,992,197|
November 10, 2011|35 days / 5 weeks|$135,739|100.0%|n/a|0.0%|$135,739||$55,850|(#41 rank, 33 theaters, $1,692 average)|33 theaters|41.1%|52.2%|$201,099|10/23/11|Hong Kong|Newport|9/29/11|$104,930|
(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|$1,653,792||$23,942|36.3%|$166,012|7/7/13|Brazil|-|4/26/13|$60,291|
$1,020,582|61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|20.5%|$21,379|8/19/12|Bulgaria|Alexandra|6/29/12|$4,382|
3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|51.7%|$8,955|6/10/12|Czech Republic|-|5/31/12|$4,626|
$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|19.1%|$84,829|12/16/12|Finland|Mondo|11/9/12|$16,188|
98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|100%|$1,020,582|4/1/12|France|-|3/28/12|$1,020,582|
$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|$1,653,792||24.2%|$605,827|8/5/12|Germany|Senator|7/5/12|$146,559|
38.3%|$1,020,582|61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|$633,210|100%|$12,709|6/1/14|Greece|-|5/29/14|$12,709|
42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|48%|$26,224|2/3/13|Hong Kong|GoldScene|1/24/13|$12,578|
61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|67.1%|$22,403|10/21/12|Lebanon|-|10/11/12|$15,023|
November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|96.1%|$22,467|1/6/13|Norway|-|1/4/13|$21,584|
|$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|$1,653,792|23.1%|$480,413|8/5/12|Poland|KS'Wiat|6/29/12|$111,005|
$633,210|38.3%|$1,020,582|61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|28.7%|$63,454|9/23/12|Portugal|-|8/23/12|$18,197|
(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|$1,653,792||$23,942|14.8%|$15,002|9/9/12|Slovenia|-|8/16/12|$2,224|
$1,020,582|61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|52.9%|$182,175|3/31/13|Spain|Alta|2/15/13|$96,390|
3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|36%|$24,587|7/21/13|Turkey|M3|7/5/13|$8,851|
$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|63.1%|$44,445|2/10/13|United Arab Emirates|Gulf|1/31/13|$28,025|
98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|45.3%|$305,138|6/24/12|United Kingdom|-|5/18/12|$138,300|
December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|22.5%|$373,612|6/16/08|Argentina|Impacto|3/27/08|$84,116|
|$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159|10.1%|$1,724,376|5/11/08|Australia|Hopscotch|12/26/07|$173,726|
$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|11%|$395,907|9/23/07|Austria|3L Film|5/18/07|$43,587|
(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|18.1%|$380,987|10/7/07|Belgium|IMA|8/8/07|$69,015|
$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|19.1%|$568,405|6/22/08|Brazil|Imagem|3/14/08|$108,738|
3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|37.7%|$10,575|11/2/08|Bulgaria|Sunny|8/8/08|$3,987|
$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|28.8%|$94,113|7/6/08|Chile|Impacto|5/29/08|$27,076|
119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|31.3%|$55,590|10/19/08|Czech Republic|Palace|9/25/08|$17,408|
$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||40.5%|$28,451|10/7/07|Denmark|Sunrise|9/28/07|$11,529|
22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|12.3%|$270,815|1/3/08|Finland|Mondo|10/5/07|$33,304|
148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|21%|$1,739,660|8/21/07|France|Rezo|7/11/07|$366,075|
77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|15.3%|$2,550,341|1/13/08|Germany|3L Film|5/17/07|$390,803|
December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|100%|$37,413|9/16/07|Greece|Rosebud|9/13/07|$37,413|
|$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159|25.8%|$148,659|8/5/07|Hong Kong|EDKO|6/28/07|$38,416|
$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|98.1%|$18,127|4/6/08|Hungary|-|4/3/08|$17,791|
(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|50.8%|$5,096|1/20/08|Iceland|Sena|1/18/08|$2,590|
$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|23.3%|$225,946|11/11/07|Italy|DNC|9/28/07|$52,649|
3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|8.6%|$83,023|8/17/08|Latvia|ACME|7/4/08|$7,135|
$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|7%|$19,820|6/15/08|Lebanon|-|5/8/08|$1,387|
119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|19.3%|$45,887|8/31/08|Lithuania|ACME|8/1/08|$8,870|
$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||20.7%|$12,346|4/13/08|Malaysia|-|2/28/08|$2,551|
22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|25.4%|$43,836|12/30/07|Netherlands|Moonlight|12/20/07|$11,149|
148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|11%|$434,413|6/22/08|New Zealand|Hopscotch|3/20/08|$47,638|
77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|9.5%|$212,929|9/9/07|Norway|Oro Film|7/13/07|$20,290|
December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|15.9%|$1,426,834|7/20/08|Poland|KS'Wiat|5/30/08|$226,310|
|$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159|22.8%|$96,017|11/4/07|Portugal|LNK|9/13/07|$21,915|
$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|15.7%|$109,646|3/1/09|Russia - CIS|Cascade|11/6/08|$17,260|
(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|16.2%|$49,544|4/5/09|Slovakia|Palace|11/27/08|$8,029|
$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|8.5%|$44,876|5/25/08|Slovenia|FIVIA|4/3/08|$3,819|
3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|1892.4%|$433|5/3/09|South Korea|-|7/19/07|$8,194|
$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|13.2%|$1,035,776|11/18/07|Spain|Golem|8/10/07|$137,010|
119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|9.7%|$517,304|6/1/08|Sweden|NonStop|9/7/07|$50,129|
$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||15.5%|$831,801|8/26/07|Switzerland|Xenix|5/16/07|$129,261|
22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|27.5%|$51,522|9/23/07|Taiwan|-|7/27/07|$14,185|
148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|18.1%|$22,306|11/18/07|Thailand|MongkolMaj|8/30/07|$4,035|
77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|38.3%|$225,874|8/24/08|Turkey|Bir Film|12/28/07|$86,406|
December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|16.4%|$1,358,131|11/18/07|United Kingdom|The Works|8/31/07|$222,392|
|$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159|32.2%|$20,617|9/14/08|Uruguay|-|8/15/08|$6,646|
$4,433,994|22.4%|$15,342,165|77.6%|$19,776,159||$173,641|(#32 rank, 10 theaters, $17,364 average)|148 theaters|3.9%|December 6, 2007|119 days / 17 weeks|1.1%|$71,157|12/20/09|Venezuela|-|10/2/09|$805|
October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|35.6%|$524,249|Final|Argentina|-|9/18/03|$186,825|
|$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661|53.5%|$9,106,200|Final|Australia|-|6/5/03|$4,870,138|
$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|-|$1,901,784|Final|Austria|-|6/18/03|-|
(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|-|$2,412,444|Final|Belgium|-|6/18/03|-|
$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|-|$2,978,487|Final|Brazil|-|6/13/03|-|
39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|22.4%|$86,339|7/18/04|Bulgaria|Sunny|8/29/03|$19,352|
$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|-|$1,021,618|Final|Central America and the Greater Antilles|-|8/29/03|-|
133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|55.9%|$125,876|Final|Chile|-|9/25/03|$70,425|
$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||-|$234,883|Final|Colombia|-|9/12/03|-|
53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|-|$108,481|Final|Croatia|-|7/10/03|-|
3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|-|$278,154|Final|Cyprus|-|6/27/03|-|
46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|20.1%|$481,612|9/21/03|Czech Republic|-|6/19/03|$96,840|
October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|-|$643,931|Final|Czech Republic/Slovakia|-|6/19/03|-|
|$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661|-|$1,125,515|Final|Denmark|-|6/20/03|-|
$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|80.7%|$28,960|Final|Egypt|-|10/1/03|$23,360|
(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|23%|$540,701|Final|Finland|-|6/22/03|$124,251|
$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|37.3%|$12,638,130|Final|France|-|6/18/03|$4,708,203|
39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|55.3%|$10,562,064|Final|Germany|-|6/19/03|$5,844,351|
$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|17%|$1,248,510|Final|Greece|-|7/18/03|$212,800|
133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|60.8%|$209,844|Final|Hong Kong|UIP|9/18/03|$127,613|
$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||18.3%|$587,548|Final|Hungary|-|6/19/03|$107,331|
53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|-|$155,099|Final|Iceland|-|6/13/03|-|
3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|-|$131,225|Final|India|-|9/26/03|-|
46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|-|$656,906|Final|Indonesia|-|8/27/03|-|
October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|-|$676,079|Final|Israel|-|6/26/03|-|
|$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661|46.8%|$3,944,594|Final|Italy|-|6/20/03|$1,846,159|
$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|18%|$6,523,011|Final|Japan|-|8/23/03|$1,176,958|
(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|-|$26,315|Final|Kenya|-|8/15/03|-|
$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|-|$1|Final|Lebanon|-|7/10/03|-|
39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|-|$645,875|Final|Lebanon/United Arab Emirates|-|7/10/03|-|
$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|-|$290,106|Final|Malaysia|-|9/18/03|-|
133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|40.5%|$7,640,982|Final|Mexico|-|6/13/03|$3,094,708|
$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||-|$794,266|Final|Middle East Other|-|6/18/03|-|
53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|40.7%|$2,786,792|Final|Netherlands|-|6/19/03|$1,134,419|
3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|44.3%|$1,571,553|Final|New Zealand|-|6/12/03|$695,725|
46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|21.4%|$1,434,601|Final|Norway|-|7/25/03|$307,188|
October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|-|$148,777|Final|Peru|-|8/14/03|-|
|$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661|-|$412,620|Final|Philippines|-|9/10/03|-|
$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|18.3%|$861,780|Final|Poland|-|6/20/03|$158,074|
(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|$109,195,760|46.2%|$236,350,661||$50,472,480|-|$1,660,922|Final|Portugal|-|6/27/03|-|
$109,195,760|46.2%|$236,350,661||$50,472,480|(#1 rank, 3,408 theaters, $14,810 average)|3,418 theaters|39.7%|October 23, 2003|133 days / 19 weeks|$127,154,901|53.8%|-|$150,103|Final|Romania|-|8/1/03|-|
